Run,Station,CollectionDate,Depth(m),16s_18s,Min_Filter_Size,Temp(degC),Salinity,DO(%),DO(mg/L),pH,Chl(ug/L),H2O-δ18O(‰),DOC(mg/L),TDN(mg/L),NO3(μM),NH4(μM),Bacteriax108cells/L,POC(μg/L),POC-δ13C(‰),PN(μg/L),PN-δ15N(‰),chlorophyll_a_(μg/L)
SRR8833013,KA-K,8/15/12,1,16s,47 mm 3 µm polycarbonate filter,9.4,19.7,105.3,10.6,7.8,1.4,,,,,,17.9,280.6,-28.2,34.2,4.6,0.4
SRR8833014,JA-3,8/15/12,1,16s,47 mm 3 µm polycarbonate filter,9.1,21.4,110.6,11.1,7.8,0.4,,,,,,17.64,299.2,-28,48.7,5.9,0.2
SRR8833015,JA-B,4/24/12,2,16s,47 mm 3 µm polycarbonate filter,,,,,,,,,,,,1.35,36.4,-27.7,5.3,7.4,0.1
SRR8833016,KA-A,4/17/12,2,16s,142 mm 0.22 µm Supor filter,-2.4,42.1,74.2,8.6,7.3,0.8,-3.7,1.44,0.29,4,4.8,6.13,106,-24.1,15.2,6.8,0
SRR8833017,BPDL,8/9/13,1,16s,0.22 µm (Sterivex-GP),8.1,25.7,102.6,10.3,7.9,0,,,,,,4.88,220.6,-27.9,30,9.2,0
SRR8833018,NU-1,6/22/13,2,16s,47 mm 3 µm polycarbonate filter,4.2,0.6,85,12,7.9,1.4,-21.2,1.36,0.11,5.4,2.2,2.84,919.2,-27.5,94,2.8,0.1
SRR8833019,JA-A,4/17/13,2,16s,47 mm 3 µm polycarbonate filter,,,,,,,,,,,,17.32,493.9,-26.6,89.3,0.1,0
SRR8833020,JA-3,6/26/13,2,16s,47 mm 3 µm polycarbonate filter,1.9,2.2,95.8,13.1,7.5,2,-17.3,2.55,0.16,2.1,3.7,5.22,509,-28.2,63.9,3.1,0.4
SRR8833021,BPDL,6/24/13,2,16s,0.22 µm (Sterivex-GP),0.1,2.6,89,12.7,7.8,4.3,-9.5,3.12,0.15,0.9,2.5,7.94,541.5,-31.1,65,3.6,0.7
SRR8833022,JA-2,8/11/12,1,16s,142 mm 3 µm polycarbonate filter,8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8833023,BPDL,6/26/12,2,16s,142 mm 3 µm polycarbonate filter,1.6,4.5,105.8,14.4,7.4,5,-11.8,2.18,0.1,0,1,4.24,575.9,-26.4,90.6,5.5,3.7
SRR8833024,AN-A,4/15/13,2,16s,0.22 µm (Sterivex-GP),-2,33.3,106.9,13.1,7.5,0,-3.5,1.16,0.14,5.4,0,2.57,130.4,-26.6,28.3,1.5,0.1
SRR8833026,KA-1,8/10/11,1,16s,0.22 µm (Sterivex-GP),11.2,27,97.6,9,7.7,0,-5.4,1.41,0.1,0.1,,10.29,147.6,-24,30.3,8,0.2
SRR8833028,KA-A,4/9/13,2,16s,0.22 µm (Sterivex-GP),,,,,,,-4.3,1.66,0.24,6.6,7.8,3.3,98,-25.1,21.9,6.3,0
SRR8833029,JA-2,6/27/12,2,16s,142 mm 0.22 µm Supor filter,2.9,3.5,107.3,14.1,7.9,3.2,-14.3,2.52,0.08,0,0,4.1,464.6,-28.2,73.1,4.1,2.4
SRR8833031,BE-2,8/9/11,1,16s,0.22 µm (Sterivex-GP),5.1,32.1,118.3,12.2,8,0.5,-2.9,1.13,0.07,0,0,2.14,138.7,-23.6,25.2,8.8,0.1
SRR8833033,AN-3,6/24/12,2,16s,0.22 µm (Sterivex-GP),2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8833035,JA-B,4/24/12,2,16s,0.22 µm (Sterivex-GP),,,,,,,,,,,,1.35,36.4,-27.7,5.3,7.4,0.1
SRR8833039,BE-1,8/9/11,1,16s,0.22 µm (Sterivex-GP),4.9,30.6,120,12.5,7.9,0,-2.6,1.18,0.09,0,0,2.01,136.7,-22.9,23.7,7.8,0.2
SRR8833040,AN-3,6/24/12,2,16s,0.22 µm (Sterivex-GP),2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8833043,JA-3,8/13/13,1,16s,0.22 µm (Sterivex-GP),11.5,21.1,101.4,9.7,8,1,,,,,,8.83,283,-28.4,40.4,5.5,0.8
SRR8833044,AN-A,4/20/12,2,16s,0.22 µm (Sterivex-GP),-1.8,32.4,NA,NA,7.9,0.4,-3.3,0.96,0.07,0.5,0,1.75,75.6,-26.1,9.3,6.6,0.1
SRR8833045,TA-1,8/9/12,1,16s,0.22 µm (Sterivex-GP),10.5,13.6,133.8,13.7,7.9,2.5,-11.1,3.5,0.18,0.6,0.6,14.73,272.3,,38.9,7.9,0.4
SRR8833046,BPDL,4/22/12,2,16s,0.22 µm (Sterivex-GP),-1.8,31.4,108.9,13.4,7.8,0,-3.3,0.97,0.08,0.7,0,1.53,43.2,-27.9,5,5.4,0.1
SRR8833047,BE-1,8/8/12,1,16s,0.22 µm (Sterivex-GP),7,22.5,96.1,9.8,7.9,0,,,,,,4.01,93.9,-28.7,17.3,4.9,0.2
SRR8833048,KA-2,8/7/12,1,16s,142 mm 0.22 µm Supor filter,11.5,23,83.4,7.9,8,2,,,,,,24.9,229.5,-28.1,40.5,7.9,0.2
SRR8833049,JA-A,4/18/12,2,16s,142 mm 0.22 µm Supor filter,-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8833050,JA-2,8/11/12,1,16s,142 mm 3 µm polycarbonate filter,8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8833051,JA-A,4/13/13,2,16s,0.22 µm (Sterivex-GP),,,,,,,-3.8,1.33,0.22,1.8,0,1.21,43.9,-27.6,8,4,0
SRR8833052,NU-A,4/15/13,2,16s,0.22 µm (Sterivex-GP),-2.5,41.8,81,9.4,7.4,0.6,-4.6,1.75,0.22,2.2,5,2.49,93.3,-28,12.6,2.9,0
SRR8833053,JA-2,6/21/13,2,16s,47 mm 3 µm polycarbonate filter,3.5,1.7,92.5,12.2,8.2,2.5,-18.4,3.08,0.15,2.2,5.7,5.1,787.2,-27.5,98.6,2.7,0.2
SRR8833054,KA-K,6/23/13,2,16s,47 mm 3 µm polycarbonate filter,0.3,3.8,97.5,13.7,8.1,2.3,-14.6,3.06,0.16,1,1.8,8.26,502.8,-28.6,60.8,4.4,0.7
SRR8833055,KA-4,6/25/13,2,16s,47 mm 3 µm polycarbonate filter,0.7,4.3,98,13.6,8.2,3,-14.9,3.94,0.17,0.3,1.5,8.53,470.7,-29.2,57.4,4.2,0.3
