Run,Station,CollectionDate,Depth(m),16s_18s,Min_Filter_Size,Temp(degC),Salinity,DO(%),DO(mg/L),pH,Chl(ug/L),H2O-δ18O(‰),DOC(mg/L),TDN(mg/L),NO3(μM),NH4(μM),Bacteriax108cells/L,POC(μg/L),POC-δ13C(‰),PN(μg/L),PN-δ15N(‰),chlorophyll_a_(μg/L)
SRR8838072,NU-2,8/10/12,1,18s,0.22 µm (Sterivex-GP),11.5,2.3,105.9,11.4,7.6,0.5,-19.8,1.52,0.1,1,0,11.42,248.2,-30.4,37.1,2.9,1.2
SRR8838074,AN-1,8/12/12,1,18s,0.22 µm (Sterivex-GP),9.5,23.8,104.8,10.3,7.9,1.2,,,,,,23.26,207.6,-28.6,35.4,6.8,0.3
SRR8838075,JA-1,8/11/12,1,18s,0.22 µm (Sterivex-GP),8.2,21.8,106.5,10.9,7.9,0.3,,,,,,11.35,152.5,-28.7,22.2,4.8,0.2
SRR8838076,DE-2,8/13/12,1,18s,0.22 µm (Sterivex-GP),10.7,14.6,107.7,10.9,8.1,1.5,,,,,,9.11,184.2,-29.4,31,5,0.5
SRR8838079,JA-A,4/17/13,2,18s,0.22 µm (Sterivex-GP),,,,,,,,,,,,17.32,493.9,-26.6,89.3,0.1,0
SRR8838080,NU-1,6/22/13,2,18s,0.22 µm (Sterivex-GP),4.2,0.6,85,12,7.9,1.4,-21.2,1.36,0.11,5.4,2.2,2.84,919.2,-27.5,94,2.8,0.1
SRR8838081,BPDL,6/24/13,2,18s,47 mm 3 µm polycarbonate filter,0.1,2.6,89,12.7,7.8,4.3,-9.5,3.12,0.15,0.9,2.5,7.94,541.5,-31.1,65,3.6,0.7
SRR8838082,JA-3,6/26/13,2,18s,0.22 µm (Sterivex-GP),1.9,2.2,95.8,13.1,7.5,2,-17.3,2.55,0.16,2.1,3.7,5.22,509,-28.2,63.9,3.1,0.4
SRR8838083,BPDL,8/9/13,1,18s,47 mm 3 µm polycarbonate filter,8.1,25.7,102.6,10.3,7.9,0,,,,,,4.88,220.6,-27.9,30,9.2,0
SRR8838084,HU-1,8/8/11,1,18s,0.22 µm (Sterivex-GP),5.2,30.4,137,13.2,7.8,0.6,-5.1,1.34,0.08,0,0,3.65,351.3,-23.1,63.7,7.7,1.7
SRR8838085,AN-3,6/24/12,2,18s,47 mm 3 µm polycarbonate filter,2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8838087,JA-1,8/13/13,1,18s,47 mm 3 µm polycarbonate filter,10.7,22.4,102.8,9.7,8,0.2,,,,,,8.22,238.1,-28.4,39.3,5.6,0.1
SRR8838089,NU-2,8/10/12,1,18s,47 mm 3 µm polycarbonate filter,11.5,2.3,105.9,11.4,7.6,0.5,-19.8,1.52,0.1,1,0,11.42,248.2,-30.4,37.1,2.9,1.2
SRR8838090,TA-2,8/9/12,1,18s,0.22 µm (Sterivex-GP),11,18.4,142.9,13.8,8,0.3,,,,,,16.08,224.5,-28.8,35.5,4.8,0.6
SRR8838091,KA-B,4/17/12,2,18s,0.22 µm (Sterivex-GP),-2.1,37.4,83.4,10,7.6,0,-3.6,1.36,0.25,4.6,4.5,7.65,79.3,-25.3,12.5,7,0
SRR8838092,JA-3,8/15/12,1,18s,47 mm 3 µm polycarbonate filter,9.1,21.4,110.6,11.1,7.8,0.4,,,,,,17.64,299.2,-28,48.7,5.9,0.2
SRR8838093,DP-2,8/13/12,1,18s,0.22 µm (Sterivex-GP),6.5,16.3,106.6,11.7,8,1.3,,,,,,3.05,135.8,-28.9,24.8,5.8,0.2
SRR8838094,DE-3,8/13/12,1,18s,0.22 µm (Sterivex-GP),10,14.9,108.8,11.2,8.1,0,,,,,,8.53,161.7,-29.1,26.9,5.5,0.4
SRR8838095,DE-1,8/13/12,1,18s,0.22 µm (Sterivex-GP),10.1,11.8,107,11.2,8,2,,,,,,10.6,241.8,-31.4,34.8,3.3,0.6
SRR8838096,BE-2,8/8/12,1,18s,0.22 µm (Sterivex-GP),6.6,22.5,89.3,9.4,7.9,0.5,,,,,,3.63,92.9,-28.3,14.4,2.6,0.1
SRR8838097,KA-2,8/7/12,1,18s,0.22 µm (Sterivex-GP),11.5,23,83.4,7.9,8,2,,,,,,24.9,229.5,-28.1,40.5,7.9,0.2
SRR8838098,HU-2,8/6/12,1,18s,0.22 µm (Sterivex-GP),7.6,24.5,102.7,10.5,7.8,1,,,,,,4.91,209.9,-27.4,32.4,8.2,0.2
SRR8838099,KA-K,8/15/12,1,18s,47 mm 3 µm polycarbonate filter,9.4,19.7,105.3,10.6,7.8,1.4,,,,,,17.9,280.6,-28.2,34.2,4.6,0.4
SRR8838104,DE-2,8/22/11,1,18s,0.22 µm (Sterivex-GP),6.9,28.8,106.5,10.7,7.9,0.4,-3.8,1.12,0.08,0,4,8.37,294.3,-22.9,55.5,7.7,0
SRR8838106,DE-1,8/22/11,1,18s,0.22 µm (Sterivex-GP),7.4,28.6,100.8,10,7.8,0,-3.7,1.19,0.12,0,0.9,9.53,249.1,-23.1,49.4,7.3,0.2
SRR8838109,JA-3,8/7/11,1,18s,0.22 µm (Sterivex-GP),10,26.1,105.8,10.1,8.1,0.9,-6.7,1.35,0.09,0,0,4.45,398.2,-24.2,60.8,4.6,0.6
SRR8838110,DE-3,8/22/11,1,18s,0.22 µm (Sterivex-GP),7.7,28.1,104.8,10.4,7.9,0.1,-4.8,1.12,0.06,0,0.7,8.5,314.2,-23.5,52.4,6.1,0.1
SRR8838111,AN-1,8/11/13,1,18s,47 mm 3 µm polycarbonate filter,14.1,17.4,110.7,10.1,8,0.2,,,,,,11.08,290.7,-28.7,47.2,8,0.2
SRR8838112,NU-1,6/22/13,2,18s,0.22 µm (Sterivex-GP),4.2,0.6,85,12,7.9,1.4,-21.2,1.36,0.11,5.4,2.2,2.84,919.2,-27.5,94,2.8,0.1
SRR8838114,HU-2,8/8/11,1,18s,0.22 µm (Sterivex-GP),4.8,31.6,132.5,13.8,8,0.2,-6.7,1.21,0.08,0,0,2.26,324.9,-23.7,60.2,7,0.9
SRR8838116,BE-1,8/8/12,1,18s,0.22 µm (Sterivex-GP),7,22.5,96.1,9.8,7.9,0,,,,,,4.01,93.9,-28.7,17.3,4.9,0.2
SRR8838117,KA-1,8/7/12,1,18s,0.22 µm (Sterivex-GP),10.8,23.3,85,8.3,8,1.5,,,,,,19.79,222.3,-28.1,43,6.4,0.6
SRR8838118,HU-1,8/6/12,1,18s,0.22 µm (Sterivex-GP),7.3,24.2,91,9.4,7.8,0,,,,,,3.33,109.1,-28.6,16.6,6.3,0.2
SRR8838119,KA-B,4/17/12,2,18s,47 mm 3 µm polycarbonate filter,-2.1,37.4,83.4,10,7.6,0,-3.6,1.36,0.25,4.6,4.5,7.65,79.3,-25.3,12.5,7,0
SRR8838120,JA-1,8/11/12,1,18s,0.22 µm (Sterivex-GP),8.2,21.8,106.5,10.9,7.9,0.3,,,,,,11.35,152.5,-28.7,22.2,4.8,0.2
SRR8838121,NU-2,8/10/12,1,18s,0.22 µm (Sterivex-GP),11.5,2.3,105.9,11.4,7.6,0.5,-19.8,1.52,0.1,1,0,11.42,248.2,-30.4,37.1,2.9,1.2
SRR8838123,TA-1,8/9/12,1,18s,0.22 µm (Sterivex-GP),10.5,13.6,133.8,13.7,7.9,2.5,-11.1,3.5,0.18,0.6,0.6,14.73,272.3,,38.9,7.9,0.4
SRR8838125,DE-1,8/13/12,1,18s,47 mm 3 µm polycarbonate filter,10.1,11.8,107,11.2,8,2,,,,,,10.6,241.8,-31.4,34.8,3.3,0.6
SRR8838126,AN-1,8/12/12,1,18s,0.22 µm (Sterivex-GP),9.5,23.8,104.8,10.3,7.9,1.2,,,,,,23.26,207.6,-28.6,35.4,6.8,0.3
SRR8838127,JA-2,6/27/12,2,18s,0.22 µm (Sterivex-GP),2.9,3.5,107.3,14.1,7.9,3.2,-14.3,2.52,0.08,0,0,4.1,464.6,-28.2,73.1,4.1,2.4
SRR8838128,JA-2,8/11/12,1,18s,0.22 µm (Sterivex-GP),8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8838129,AN-2,8/12/12,1,18s,0.22 µm (Sterivex-GP),8.7,21.6,105,10.6,8,0.8,,,,,,14.43,246.6,-28.9,39.9,8.2,0.6
SRR8838130,DE-2,8/13/12,1,18s,47 mm 3 µm polycarbonate filter,10.7,14.6,107.7,10.9,8.1,1.5,,,,,,9.11,184.2,-29.4,31,5,0.5
SRR8838131,KA-4,6/25/13,2,18s,0.22 µm (Sterivex-GP),0.7,4.3,98,13.6,8.2,3,-14.9,3.94,0.17,0.3,1.5,8.53,470.7,-29.2,57.4,4.2,0.3
SRR8838132,KA-K,6/23/13,2,18s,0.22 µm (Sterivex-GP),0.3,3.8,97.5,13.7,8.1,2.3,-14.6,3.06,0.16,1,1.8,8.26,502.8,-28.6,60.8,4.4,0.7
SRR8838133,JA-2,6/21/13,2,18s,0.22 µm (Sterivex-GP),3.5,1.7,92.5,12.2,8.2,2.5,-18.4,3.08,0.15,2.2,5.7,5.1,787.2,-27.5,98.6,2.7,0.2
SRR8838135,KA-2,8/7/12,1,18s,142 mm 3 µm polycarbonate filter,11.5,23,83.4,7.9,8,2,,,,,,24.9,229.5,-28.1,40.5,7.9,0.2
SRR8838136,BPDL,4/22/12,2,18s,142 mm 3 µm polycarbonate filter,-1.8,31.4,108.9,13.4,7.8,0,-3.3,0.97,0.08,0.7,0,1.53,43.2,-27.9,5,5.4,0.1
SRR8838137,BE-1,8/9/13,1,18s,0.22 µm (Sterivex-GP),7.5,26.1,106.7,10.7,8.1,0,,,,,,4.53,147,-28.1,28.8,8.5,0
SRR8838138,AN-3,6/24/12,2,18s,0.22 µm (Sterivex-GP),2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8838139,KA-4,6/29/12,2,18s,142 mm 3 µm polycarbonate filter,3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8838140,JA-A,4/18/12,2,18s,142 mm 3 µm polycarbonate filter,-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8838142,KA-A,4/17/12,2,18s,0.22 µm (Sterivex-GP),-2.4,42.1,74.2,8.6,7.3,0.8,-3.7,1.44,0.29,4,4.8,6.13,106,-24.1,15.2,6.8,0
SRR8838143,KA-4,6/29/12,2,18s,0.22 µm (Sterivex-GP),3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8838144,KA-3,8/15/12,1,18s,47 mm 3 µm polycarbonate filter,9.4,19.5,106,10.7,7.8,1.4,,,,,,14.04,246.9,-27.9,37.7,5.1,0.2
SRR8838146,JA-2,8/11/12,1,18s,142 mm 3 µm polycarbonate filter,8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8838147,AN-2,8/11/13,1,18s,47 mm 3 µm polycarbonate filter,13.1,16.8,110.5,10.4,8,0,,,,,,9.28,290.1,-28.9,40.4,6.1,0.4
SRR8838148,KA-4,6/29/12,2,18s,0.22 µm (Sterivex-GP),3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8838149,KA-B,4/17/12,2,18s,0.22 µm (Sterivex-GP),-2.1,37.4,83.4,10,7.6,0,-3.6,1.36,0.25,4.6,4.5,7.65,79.3,-25.3,12.5,7,0
SRR8838150,AN-3,6/24/12,2,18s,47 mm 3 µm polycarbonate filter,2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8838151,JA-A,4/18/12,2,18s,0.22 µm (Sterivex-GP),-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8838153,BPDL,6/26/12,2,18s,142 mm 3 µm polycarbonate filter,1.6,4.5,105.8,14.4,7.4,5,-11.8,2.18,0.1,0,1,4.24,575.9,-26.4,90.6,5.5,3.7
SRR8838154,KA-4,6/29/12,2,18s,47 mm 3 µm polycarbonate filter,3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8838155,BPDL,8/15/12,1,18s,0.22 µm (Sterivex-GP),-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8838158,AN-2,8/12/12,1,18s,47 mm 3 µm polycarbonate filter,8.7,21.6,105,10.6,8,0.8,,,,,,14.43,246.6,-28.9,39.9,8.2,0.6
SRR8838159,JA-2,8/11/12,1,18s,47 mm 3 µm polycarbonate filter,8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8838160,NU-3,8/10/12,1,18s,47 mm 3 µm polycarbonate filter,11.6,4.8,105.4,11.1,8.3,2.2,-16.9,1.24,0.1,0.1,0,10.85,290.4,-31,53,3.2,2
SRR8838161,NU-1,8/10/12,1,18s,47 mm 3 µm polycarbonate filter,11.5,2.3,105.9,11.4,7.6,0.5,,,,,,8.15,195.5,-30.4,34.7,3.2,1
SRR8838162,TA-1,8/9/12,1,18s,0.22 µm (Sterivex-GP),10.5,13.6,133.8,13.7,7.9,2.5,-11.1,3.5,0.18,0.6,0.6,14.73,272.3,,38.9,7.9,0.4
SRR8838164,BE-2,8/9/13,1,18s,0.22 µm (Sterivex-GP),7.6,26.1,105.7,10.6,8.1,0,,,,,,4.12,146.6,-26.8,29.3,10.2,0
SRR8838165,JA-A,4/13/13,2,18s,0.22 µm (Sterivex-GP),,,,,,,-3.8,1.33,0.22,1.8,0,1.21,43.9,-27.6,8,4,0
SRR8838166,DP-2,8/22/11,1,18s,0.22 µm (Sterivex-GP),2.5,31.2,107.1,11.8,7.9,0.2,-2.1,1.28,0.06,0,0.6,7.69,374.4,-22.1,75,7.3,0.2
SRR8838167,BPDL,6/24/13,2,18s,0.22 µm (Sterivex-GP),0.1,2.6,89,12.7,7.8,4.3,-9.5,3.12,0.15,0.9,2.5,7.94,541.5,-31.1,65,3.6,0.7
SRR8838168,NU-1,6/22/13,2,18s,47 mm 3 µm polycarbonate filter,4.2,0.6,85,12,7.9,1.4,-21.2,1.36,0.11,5.4,2.2,2.84,919.2,-27.5,94,2.8,0.1
SRR8838169,JA-A,4/17/13,2,18s,47 mm 3 µm polycarbonate filter,,,,,,,,,,,,17.32,493.9,-26.6,89.3,0.1,0
SRR8838170,AN-A,4/15/13,2,18s,0.22 µm (Sterivex-GP),-2,33.3,106.9,13.1,7.5,0,-3.5,1.16,0.14,5.4,0,2.57,130.4,-26.6,28.3,1.5,0.1
SRR8838172,JA-2,8/11/12,1,18s,142 mm 3 µm polycarbonate filter,8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8838173,BPDL,6/26/12,2,18s,0.22 µm (Sterivex-GP),1.6,4.5,105.8,14.4,7.4,5,-11.8,2.18,0.1,0,1,4.24,575.9,-26.4,90.6,5.5,3.7
SRR8838174,BPDL,8/15/12,1,18s,142 mm 3 µm polycarbonate filter,-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8838175,NU-A,4/20/12,2,18s,47 mm 3 µm polycarbonate filter,-2.2,39.9,89.3,10.5,7.6,0,-3.4,1.3,0.17,2.5,1.7,4.29,82.4,-26.2,11,7,0.1
SRR8838177,BPDL,8/9/13,1,18s,0.22 µm (Sterivex-GP),8.1,25.7,102.6,10.3,7.9,0,,,,,,4.88,220.6,-27.9,30,9.2,0
SRR8838178,JA-3,6/26/13,2,18s,47 mm 3 µm polycarbonate filter,1.9,2.2,95.8,13.1,7.5,2,-17.3,2.55,0.16,2.1,3.7,5.22,509,-28.2,63.9,3.1,0.4
SRR8838179,KA-1,8/7/12,1,18s,0.22 µm (Sterivex-GP),10.8,23.3,85,8.3,8,1.5,,,,,,19.79,222.3,-28.1,43,6.4,0.6
SRR8838183,BE-1,8/9/13,1,18s,0.22 µm (Sterivex-GP),7.5,26.1,106.7,10.7,8.1,0,,,,,,4.53,147,-28.1,28.8,8.5,0
SRR8838184,JA-3,6/26/13,2,18s,0.22 µm (Sterivex-GP),1.9,2.2,95.8,13.1,7.5,2,-17.3,2.55,0.16,2.1,3.7,5.22,509,-28.2,63.9,3.1,0.4
SRR8838185,KA-4,6/29/12,2,18s,142 mm 3 µm polycarbonate filter,3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8838186,JA-A,4/18/12,2,18s,142 mm 3 µm polycarbonate filter,-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8838187,JA-2,6/27/12,2,18s,142 mm 3 µm polycarbonate filter,2.9,3.5,107.3,14.1,7.9,3.2,-14.3,2.52,0.08,0,0,4.1,464.6,-28.2,73.1,4.1,2.4
SRR8838188,KA-A,4/17/12,2,18s,142 mm 3 µm polycarbonate filter,-2.4,42.1,74.2,8.6,7.3,0.8,-3.7,1.44,0.29,4,4.8,6.13,106,-24.1,15.2,6.8,0
SRR8838190,BE-1,8/8/12,1,18s,0.22 µm (Sterivex-GP),7,22.5,96.1,9.8,7.9,0,,,,,,4.01,93.9,-28.7,17.3,4.9,0.2
SRR8838191,KA-3,8/15/12,1,18s,47 mm 3 µm polycarbonate filter,9.4,19.5,106,10.7,7.8,1.4,,,,,,14.04,246.9,-27.9,37.7,5.1,0.2
SRR8838192,HU-1,8/6/12,1,18s,0.22 µm (Sterivex-GP),7.3,24.2,91,9.4,7.8,0,,,,,,3.33,109.1,-28.6,16.6,6.3,0.2
SRR8838193,DP-1,8/13/12,1,18s,0.22 µm (Sterivex-GP),5.4,15.8,106.7,12.1,7.9,0.5,,,,,,2.73,111.5,-28.9,18.3,7.2,0.2
SRR8838194,BPDL,8/15/12,1,18s,47 mm 3 µm polycarbonate filter,-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8838196,DE-2,8/13/12,1,18s,0.22 µm (Sterivex-GP),10.7,14.6,107.7,10.9,8.1,1.5,,,,,,9.11,184.2,-29.4,31,5,0.5
SRR8838198,NU-1,8/10/12,1,18s,0.22 µm (Sterivex-GP),11.5,2.3,105.9,11.4,7.6,0.5,,,,,,8.15,195.5,-30.4,34.7,3.2,1
SRR8838199,DE-3,8/13/12,1,18s,47 mm 3 µm polycarbonate filter,10,14.9,108.8,11.2,8.1,0,,,,,,8.53,161.7,-29.1,26.9,5.5,0.4
SRR8838200,DP-2,8/13/12,1,18s,0.22 µm (Sterivex-GP),6.5,16.3,106.6,11.7,8,1.3,,,,,,3.05,135.8,-28.9,,,
SRR8838201,KA-3,8/15/12,1,18s,0.22 µm (Sterivex-GP),9.4,19.5,106,10.7,7.8,1.4,,,,,,14.04,246.9,-27.9,37.7,5.1,0.2
SRR8838203,JA-1,8/13/13,1,18s,0.22 µm (Sterivex-GP),10.7,22.4,102.8,9.7,8,0.2,,,,,,8.22,238.1,-28.4,39.3,5.6,0.1
SRR8838204,AN-1,8/11/13,1,18s,0.22 µm (Sterivex-GP),14.1,17.4,110.7,10.1,8,0.2,,,,,,11.08,290.7,-28.7,47.2,8,0.2
SRR8838205,KA-2,8/10/13,1,18s,0.22 µm (Sterivex-GP),13.3,22.4,103.8,9.4,8.2,0,,,,,,12.82,264,-27.1,43,8.2,0.4
SRR8838207,NU-3,8/10/12,1,18s,0.22 µm (Sterivex-GP),11.6,4.8,105.4,11.1,8.3,2.2,-16.9,1.24,0.1,0.1,0,10.85,290.4,-31,53,3.2,2
SRR8838208,JA-2,8/11/12,1,18s,0.22 µm (Sterivex-GP),8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8838212,JA-B,4/24/12,2,18s,0.22 µm (Sterivex-GP),,,,,,,,,,,,1.35,36.4,-27.7,5.3,7.4,0.1
SRR8838214,KA-1,8/10/13,1,18s,0.22 µm (Sterivex-GP),13.6,22.3,92.5,8.4,8.1,0,,,,,,14.21,261.2,-28.1,40.1,7.8,0.6
SRR8838215,KA-A,4/17/12,2,18s,47 mm 3 µm polycarbonate filter,-2.4,42.1,74.2,8.6,7.3,0.8,-3.7,1.44,0.29,4,4.8,6.13,106,-24.1,15.2,6.8,0
SRR8838216,AN-A,4/20/12,2,18s,0.22 µm (Sterivex-GP),-1.8,32.4,NA,NA,7.9,0.4,-3.3,0.96,0.07,0.5,0,1.75,75.6,-26.1,9.3,6.6,0.1
SRR8838217,KA-2,8/10/13,1,18s,0.22 µm (Sterivex-GP),13.3,22.4,103.8,9.4,8.2,0,,,,,,12.82,264,-27.1,43,8.2,0.4
SRR8838218,JA-3,8/13/13,1,18s,47 mm 3 µm polycarbonate filter,11.5,21.1,101.4,9.7,8,1,,,,,,8.83,283,-28.4,40.4,5.5,0.8
SRR8838219,DP-1,8/22/11,1,18s,0.22 µm (Sterivex-GP),2,31.3,107.7,12.1,7.9,0,-2.5,1.27,0.08,0,3.3,5.69,329,-22.5,61.3,6.6,0.2
SRR8838221,BPDL,8/15/12,1,18s,142 mm 0.22 µm Supor filter,-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8838222,BPDL,6/26/12,2,18s,142 mm 0.22 µm Supor filter,1.6,4.5,105.8,14.4,7.4,5,-11.8,2.18,0.1,0,1,4.24,575.9,-26.4,90.6,5.5,3.7
SRR8838223,KA-A,4/17/12,2,18s,142 mm 0.22 µm Supor filter,-2.4,42.1,74.2,8.6,7.3,0.8,-3.7,1.44,0.29,4,4.8,6.13,106,-24.1,15.2,6.8,0
SRR8838224,JA-2,6/27/12,2,18s,142 mm 0.22 µm Supor filter,2.9,3.5,107.3,14.1,7.9,3.2,-14.3,2.52,0.08,0,0,4.1,464.6,-28.2,73.1,4.1,2.4
SRR8838225,AN-A,4/15/13,2,18s,47 mm 3 µm polycarbonate filter,-2,33.3,106.9,13.1,7.5,0,-3.5,1.16,0.14,5.4,0,2.57,130.4,-26.6,28.3,1.5,0.1
SRR8838226,JA-A,4/17/13,2,18s,0.22 µm (Sterivex-GP),,,,,,,,,,,,17.32,493.9,-26.6,89.3,0.1,0
SRR8838227,JA-2,8/11/12,1,18s,142 mm 0.22 µm Supor filter,8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8838229,KA-K,6/23/13,2,18s,47 mm 3 µm polycarbonate filter,0.3,3.8,97.5,13.7,8.1,2.3,-14.6,3.06,0.16,1,1.8,8.26,502.8,-28.6,60.8,4.4,0.7
SRR8838230,KA-4,6/25/13,2,18s,47 mm 3 µm polycarbonate filter,0.7,4.3,98,13.6,8.2,3,-14.9,3.94,0.17,0.3,1.5,8.53,470.7,-29.2,57.4,4.2,0.3
SRR8838231,NU-A,4/15/13,2,18s,0.22 µm (Sterivex-GP),-2.5,41.8,81,9.4,7.4,0.6,-4.6,1.75,0.22,2.2,5,2.49,93.3,-28,12.6,2.9,0
SRR8838232,JA-2,6/21/13,2,18s,47 mm 3 µm polycarbonate filter,3.5,1.7,92.5,12.2,8.2,2.5,-18.4,3.08,0.15,2.2,5.7,5.1,787.2,-27.5,98.6,2.7,0.2
SRR8838233,HU-2,8/6/12,1,18s,0.22 µm (Sterivex-GP),7.6,24.5,102.7,10.5,7.8,1,,,,,,4.91,209.9,-27.4,32.4,8.2,0.2
SRR8838234,KA-3,8/15/12,1,18s,0.22 µm (Sterivex-GP),9.4,19.5,106,10.7,7.8,1.4,,,,,,14.04,246.9,-27.9,37.7,5.1,0.2
SRR8838235,BPDL,6/26/12,2,18s,0.22 µm (Sterivex-GP),1.6,4.5,105.8,14.4,7.4,5,-11.8,2.18,0.1,0,1,4.24,575.9,-26.4,90.6,5.5,3.7
SRR8838236,KA-K,6/25/12,0-3,18s,NA,1.4,3.8,108,14.8,8.3,1.4,,,,,,,,,,,
SRR8838237,KA-K,6/25/12,2,18s,0.22 µm (Sterivex-GP),0.9,4,107.7,14.9,8.3,2.8,-11.8,2.41,0.1,0,1,5.61,484.5,-26.9,81.5,6.2,15.4
SRR8838238,AN-3,6/24/12,2,18s,0.22 µm (Sterivex-GP),2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8838240,JA-2,6/27/12,2,18s,0.22 µm (Sterivex-GP),2.9,3.5,107.3,14.1,7.9,3.2,-14.3,2.52,0.08,0,0,4.1,464.6,-28.2,73.1,4.1,2.4
SRR8838241,BPDL,6/26/12,2,18s,0.22 µm (Sterivex-GP),1.6,4.5,105.8,14.4,7.4,5,-11.8,2.18,0.1,0,1,4.24,575.9,-26.4,90.6,5.5,3.7
SRR8838242,BPDL,6/26/12,2,18s,47 mm 3 µm polycarbonate filter,1.6,4.5,105.8,14.4,7.4,5,-11.8,2.18,0.1,0,1,4.24,575.9,-26.4,90.6,5.5,3.7
SRR8838243,AN-A,4/15/13,2,18s,0.22 µm (Sterivex-GP),-2,33.3,106.9,13.1,7.5,0,-3.5,1.16,0.14,5.4,0,2.57,130.4,-26.6,28.3,1.5,0.1
SRR8838244,JA-2,6/27/12,2,18s,47 mm 3 µm polycarbonate filter,2.9,3.5,107.3,14.1,7.9,3.2,-14.3,2.52,0.08,0,0,4.1,464.6,-28.2,73.1,4.1,2.4
SRR8838247,JA-3,8/13/13,1,18s,0.22 µm (Sterivex-GP),11.5,21.1,101.4,9.7,8,1,,,,,,8.83,283,-28.4,40.4,5.5,0.8
SRR8838249,KA-A,4/17/12,2,18s,142 mm 3 µm polycarbonate filter,-2.4,42.1,74.2,8.6,7.3,0.8,-3.7,1.44,0.29,4,4.8,6.13,106,-24.1,15.2,6.8,0
SRR8838250,KA-2,8/10/13,1,18s,47 mm 3 µm polycarbonate filter,13.3,22.4,103.8,9.4,8.2,0,,,,,,12.82,264,-27.1,43,8.2,0.4
SRR8838252,JA-2,6/27/12,2,18s,142 mm 3 µm polycarbonate filter,2.9,3.5,107.3,14.1,7.9,3.2,-14.3,2.52,0.08,0,0,4.1,464.6,-28.2,73.1,4.1,2.4
SRR8838253,JA-3,8/13/13,1,18s,0.22 µm (Sterivex-GP),11.5,21.1,101.4,9.7,8,1,,,,,,8.83,283,-28.4,40.4,5.5,0.8
SRR8838254,JA-1,8/13/13,1,18s,0.22 µm (Sterivex-GP),10.7,22.4,102.8,9.7,8,0.2,,,,,,8.22,238.1,-28.4,39.3,5.6,0.1
SRR8838255,JA-B,4/24/12,2,18s,0.22 µm (Sterivex-GP),,,,,,,,,,,,1.35,36.4,-27.7,5.3,7.4,0.1
SRR8838256,BPDL,4/22/12,2,18s,0.22 µm (Sterivex-GP),-1.8,31.4,108.9,13.4,7.8,0,-3.3,0.97,0.08,0.7,0,1.53,43.2,-27.9,5,5.4,0.1
SRR8838257,JA-2,8/13/13,1,18s,0.22 µm (Sterivex-GP),10.6,21.1,100,9.7,8,0.6,,,,,,8.21,281.5,-28.2,42.7,5.7,0.7
